Location report,,,,,,,,,,
12 June 2026 - 12 June 2026,,,,,,,,,,
Location,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Buenos Aires Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"Al Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"3512, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Mexico, --,0,0, --,USD,0,0,0.00%,0,0
"Meraker, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Vichada, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"4329, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Orkland, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Karmoy, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Bourgogne-Franche-Comte, France", --,0,0, --,USD,0,0,0.00%,0,0
"6887, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kvam Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kristiansand, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Liechtenstein, --,0,0, --,USD,0,0,0.00%,0,0
"Cherkasy Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
Iceland, --,0,0, --,USD,0,0,0.00%,0,0
"Viken, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Salta Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"Kirovohrad Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
United Arab Emirates, --,0,0, --,USD,0,0,0.00%,0,0
"Rennebu Municipallity, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Austria, --,0,0, --,USD,0,0,0.00%,0,0
Greenland, --,0,0, --,USD,0,0,0.00%,0,0
Colombia, --,0,0, --,USD,0,0,0.00%,0,0
"Siauliai County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
"Rhone-Alpes, Auvergne-Rhone-Alpes, France", --,0,0, --,USD,0,0,0.00%,0,0
"Caqueta, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"Finnoy Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Champagne-Ardenne, Grand Est, France", --,0,0, --,USD,0,0,0.00%,0,0
Luxembourg, --,0,0, --,USD,0,0,0.00%,0,0
"Eigersund Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Administrative-Territorial Units of the Left Bank of the Dniester, Moldova", --,0,0, --,USD,0,0,0.00%,0,0
"Bokn Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Puumala, South Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
Sweden, --,0,0, --,USD,0,0,0.00%,0,0
"Sondre Land Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Alajarvi, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Osteroy Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"3550, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Vestfold og Telemark, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"South Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Maynas Province, Loreto, Peru", --,0,0, --,USD,0,0,0.00%,0,0
"Nykarleby, Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Kvinnherad Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Nastola, Paijat-Hame, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Stavanger Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Multia, Central Finland, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Volyn Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Tvedestrand Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Krodsherad Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Argentina, --,0,0, --,USD,0,0,0.00%,0,0
"Lyngdal Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Tibu, North Santander, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"52200, South Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Haegebostad Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Kosovo, --,0,0, --,USD,0,0,0.00%,0,0
French Guiana, --,0,0, --,USD,0,0,0.00%,0,0
"Vennesla Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Ringebu Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Montenegro, --,0,0, --,USD,0,0,0.00%,0,0
"Dovre Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Switzerland, --,0,0, --,USD,0,0,0.00%,0,0
Albania, --,0,0, --,USD,0,0,0.00%,0,0
"2743, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Guaiba, State of Rio Grande do Sul, Brazil", --,0,0, --,USD,0,0,0.00%,0,0
"Arendal Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Ulvik Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Chatham Islands Territory, New Zealand", --,0,0, --,USD,0,0,0.00%,0,0
"Kerimaki, South Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Ostfold, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"3539, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Vojvodina, Serbia", --,0,0, --,USD,0,0,0.00%,0,0
"Bedfordshire, England, United Kingdom", --,0,0, --,USD,0,0,0.00%,0,0
"Lapua, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Etne Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Grand Est, France", --,0,0, --,USD,0,0,0.00%,0,0
"Hollola, Paijat-Hame, Finland", --,0,0, --,USD,0,0,0.00%,0,0
San Marino, --,0,0, --,USD,0,0,0.00%,0,0
"2032, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Vinje Municipality, Telemark, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Varmland County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
United Kingdom, --,0,0, --,USD,0,0,0.00%,0,0
"Essex, England, United Kingdom", --,0,0, --,USD,0,0,0.00%,0,0
"Nes, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Rennesoy Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Loreto Province, Loreto, Peru", --,0,0, --,USD,0,0,0.00%,0,0
"Karkola, Paijat-Hame, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Aurland, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Marijampole County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
"4308, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sivas, Turkiye", --,0,0, --,USD,0,0,0.00%,0,0
"Cuba, Missouri, United States", --,0,0, --,USD,0,0,0.00%,0,0
"Casanare, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
"Masovian Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Khmelnytskyi Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Guatemala City, Guatemala Department, Guatemala", --,0,0, --,USD,0,0,0.00%,0,0
"Loreto, Peru", --,0,0, --,USD,0,0,0.00%,0,0
"West Pomeranian Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Vang Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Pelalawan Regency, Riau, Indonesia", --,0,0, --,USD,0,0,0.00%,0,0
"77600, North Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Jarpen, Jamtland County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Vasternorrland County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Lamas Province, San Martin, Peru", --,0,0, --,USD,0,0,0.00%,0,0
"Lahti, Paijat-Hame, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Suldal, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Finland, --,0,0, --,USD,0,0,0.00%,0,0
"Seinajoki, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"2636, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Dalarna County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Outokumpu, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Nynashamn Municipality, Stockholm County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Bygland Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Bjelovar-Bilogora County, Croatia", --,0,0, --,USD,0,0,0.00%,0,0
"51300, Grand Est, France", --,0,0, --,USD,0,0,0.00%,0,0
"Folldal Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"South Caribbean Coast Autonomous Region, Nicaragua", --,0,0, --,USD,0,0,0.00%,0,0
"5760, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sirdal Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"4480, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Saarijarvi, Central Finland, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Jamtland County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
Ireland, --,0,0, --,USD,0,0,0.00%,0,0
"4640, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Aseral Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Malta, --,0,0, --,USD,0,0,0.00%,0,0
"Luster Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Larvik Municipality, Vestfold, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Requena Province, Loreto, Peru", --,0,0, --,USD,0,0,0.00%,0,0
Portugal, --,0,0, --,USD,0,0,0.00%,0,0
"Pohja-Sakala Parish, Viljandi County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"Sokndal, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
New Zealand, --,0,0, --,USD,0,0,0.00%,0,0
"Zhytomyr Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Oppdal Municipality, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"San Juan Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"Audnedal, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Jarvso, Gavleborg County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Odesa Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Lund Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Chile, --,0,0, --,USD,0,0,0.00%,0,0
"Pasvalys District Municipality, Panevezys County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
Canada, --,0,0, --,USD,0,0,0.00%,0,0
"Rapla County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"Nore og Uvdal Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Lindesnes Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Tori Parish, Parnu County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"Sodermanland County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Hameenkoski, Paijat-Hame, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Eidfjord Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Lubusz Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Heinavesi, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"4516, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"2670, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"North Caribbean Coast Autonomous Region, Nicaragua", --,0,0, --,USD,0,0,0.00%,0,0
"Kaliningrad Oblast, Russia", --,0,0, --,USD,0,0,0.00%,0,0
"Vastra Gotaland County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Catamarca Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"Harju County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"Vaga Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Ternopil Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Kehtna Parish, Rapla County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
Svalbard and Jan Mayen, --,0,0, --,USD,0,0,0.00%,0,0
"Rakvere Parish, Laane-Viru County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
Papua New Guinea, --,0,0, --,USD,0,0,0.00%,0,0
"Haugesund Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Vinnytsia Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Alvorada, State of Rio Grande do Sul, Brazil", --,0,0, --,USD,0,0,0.00%,0,0
"North Santander, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
Turkiye, --,0,0, --,USD,0,0,0.00%,0,0
"Siak Regency, Riau, Indonesia", --,0,0, --,USD,0,0,0.00%,0,0
Italy, --,0,0, --,USD,0,0,0.00%,0,0
"Enkoping Municipality, Uppsala County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Hattfjelldal Municipality, Nordland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Rivne Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Noo Parish, Tartu County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"Arrondissement of Dreux, Centre-Val de Loire, France", --,0,0, --,USD,0,0,0.00%,0,0
"Kristiansand Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kesalahti, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Nacozari de Garcia, Sonora, Mexico", --,0,0, --,USD,0,0,0.00%,0,0
"2625, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Riau, Indonesia", --,0,0, --,USD,0,0,0.00%,0,0
"Kuopio, North Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"3580, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Sandnes Municipality, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Singapore, --,0,0, --,USD,0,0,0.00%,0,0
"Lodz Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Meta, Colombia", --,0,0, --,USD,0,0,0.00%,0,0
Denmark, --,0,0, --,USD,0,0,0.00%,0,0
"Bryansk Oblast, Russia", --,0,0, --,USD,0,0,0.00%,0,0
"Veneto, Italy", --,0,0, --,USD,0,0,0.00%,0,0
"Gomel Region, Belarus", --,0,0, --,USD,0,0,0.00%,0,0
"Strand, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Romania, --,0,0, --,USD,0,0,0.00%,0,0
"Gavleborg County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Guarico, Venezuela", --,0,0, --,USD,0,0,0.00%,0,0
"Vasterbotten County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Panevezys County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
Hungary, --,0,0, --,USD,0,0,0.00%,0,0
"4260, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Modum Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"4250, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"83900, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Pays de la Loire, France", --,0,0, --,USD,0,0,0.00%,0,0
"2150, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Lower Normandy, Normandy, France", --,0,0, --,USD,0,0,0.00%,0,0
"7760, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Chaco Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"60550, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"North Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
Australia, --,0,0, --,USD,0,0,0.00%,0,0
"Bacs-Kiskun, Hungary", --,0,0, --,USD,0,0,0.00%,0,0
"Franche-Comte, Bourgogne-Franche-Comte, France", --,0,0, --,USD,0,0,0.00%,0,0
"Pakruojis District Municipality, Siauliai County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
"Centre-Val de Loire, France", --,0,0, --,USD,0,0,0.00%,0,0
"San Luis Province, Argentina", --,0,0, --,USD,0,0,0.00%,0,0
"Telemark, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Flekkefjord Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Kyiv Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Soini, South Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Kuyavian-Pomeranian Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Kontiolahti, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Presov Region, Slovakia", --,0,0, --,USD,0,0,0.00%,0,0
Ecuador, --,0,0, --,USD,0,0,0.00%,0,0
"3632, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"4311, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
China, --,0,0, --,USD,0,0,0.00%,0,0
"Bergen, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Viamao, State of Rio Grande do Sul, Brazil", --,0,0, --,USD,0,0,0.00%,0,0
"Vastmanland County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Faerder, Vestfold, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Israel, --,0,0, --,USD,0,0,0.00%,0,0
"Gulen, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Indragiri Hilir Regency, Riau, Indonesia", --,0,0, --,USD,0,0,0.00%,0,0
"North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Ivano-Frankivsk Oblast, Ukraine", --,0,0, --,USD,0,0,0.00%,0,0
"Polvijarvi, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Marnardal Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Pomeranian Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Savonlinna, South Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Laerdal Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Greece, --,0,0, --,USD,0,0,0.00%,0,0
"Juuka, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Gausdal Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Bomlo, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Podlaskie Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Vestre Toten Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Moldova, --,0,0, --,USD,0,0,0.00%,0,0
"Alytus County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
"4521, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
France, --,0,0, --,USD,0,0,0.00%,0,0
"Hurdal Municipality, Akershus, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Sri Lanka, --,0,0, --,USD,0,0,0.00%,0,0
"Swietokrzyskie Voivodeship, Poland", --,0,0, --,USD,0,0,0.00%,0,0
"Hol Municipality, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"3158, Vestfold, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Ostrobothnia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
Suriname, --,0,0, --,USD,0,0,0.00%,0,0
"Midtre Gauldal Municipality, Trondelag, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Costa Rica, --,0,0, --,USD,0,0,0.00%,0,0
"Picota Province, San Martin, Peru", --,0,0, --,USD,0,0,0.00%,0,0
Belgium, --,0,0, --,USD,0,0,0.00%,0,0
"Rauland, Telemark, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"4790, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Songdalen Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Jondal Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Rautalampi, North Savo, Finland", --,0,0, --,USD,0,0,0.00%,0,0
Latvia, --,0,0, --,USD,0,0,0.00%,0,0
"Viljandi County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
"4520, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Japan, --,0,0, --,USD,0,0,0.00%,0,0
"Central Finland, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Kosice Region, Slovakia", --,0,0, --,USD,0,0,0.00%,0,0
Belarus, --,0,0, --,USD,0,0,0.00%,0,0
"Waikato Region, New Zealand", --,0,0, --,USD,0,0,0.00%,0,0
"80400, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Kadrina Parish, Laane-Viru County, Estonia", --,0,0, --,USD,0,0,0.00%,0,0
Guyana, --,0,0, --,USD,0,0,0.00%,0,0
"Akrehamn, Rogaland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Serbia, --,0,0, --,USD,0,0,0.00%,0,0
"Vaksdal Municipality, Vestland, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"3560, Buskerud, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Taurage County, Lithuania", --,0,0, --,USD,0,0,0.00%,0,0
"Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Raakkyla, North Karelia, Finland", --,0,0, --,USD,0,0,0.00%,0,0
"Stockholm County, Sweden", --,0,0, --,USD,0,0,0.00%,0,0
"Nord-Aurdal Municipality, Innlandet, Norway", --,0,0, --,USD,0,0,0.00%,0,0
Peru, --,0,0, --,USD,0,0,0.00%,0,0
Venezuela, --,0,0, --,USD,0,0,0.00%,0,0
"Froland Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Evje og Hornnes Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
"Lillesand Municipality, Agder, Norway", --,0,0, --,USD,0,0,0.00%,0,0
United States, --,0,0, --,USD,0,0,0.00%,0,0
Cyprus, --,0,0, --,USD,0,0,0.00%,0,0
